surveyID	surveyTargetValue	surveyTargetValueIRI	surveyTargetType	includeOrExclude	surveyTargetValueVocabulary	isSurveyTargetFullyReported
BROKE_WEST_RMT_019_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_019_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_019_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_019_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_019_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_019_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_020_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_020_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_020_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_020_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_020_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_020_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_021_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_021_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_021_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_021_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_021_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_021_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_022_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_022_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_022_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_022_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_022_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_022_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_023_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_023_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_023_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_023_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_023_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_023_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_024_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_024_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_024_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_024_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_024_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_024_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_025_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_025_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_025_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_025_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_025_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_025_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_026_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_026_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_026_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_026_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_026_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_026_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_027_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_027_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_027_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_027_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_027_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_027_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_028_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_028_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_028_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_028_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_028_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_028_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_029_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_029_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_029_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_029_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_029_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_029_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_030_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_030_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_030_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
